电梯房 次顶层 婚房装修拎包入住,2室1厅1卫,107.2平米,南北,中楼层/18层,精装,1998年建,万寿路,万寿园小区,距离地铁五棵松916米 ,单价110075元/m²,1180
南二环边 GOGO新世代西向一居室 满五年一套  随时看房,1室1厅1卫,46.39平米,西,低楼层/32层,精装,2005年建,方庄,GOGO新世代,距离地铁蒲黄榆35米 ,单价64669元/m²,300
美然绿色家园 南北通透 经济实用型的三居室,3室2厅2卫,136.3平米,南北,中楼层/6层,简装,2003年建,旧宫,美然绿色家园,距离地铁旧宫929米 ,单价37417元/m²,510
经理热推，榆树馆无遮挡，产权清晰随时签约，南向带电梯，低总价,1室1厅1卫,45.8平米,南,低楼层/18层,精装,1987年建,车公庄,榆树馆西里,距离地铁车公庄西555米 ,单价113100元/m²,518
震撼价，有钥匙，公房，随时看,2室1厅1卫,57.14平米,东西,高楼层/6层,简装,1988年建,安贞,安华里一区,距离地铁安华桥777米 ,单价67378元/m²,385
宣武门 椿树园东南三居 央产房单独物业 高楼层采光好 满五年,3室2厅2卫,158.2平米,东南,高楼层/17层,精装,1998年建,宣武门,椿树园小区,距离地铁菜市口517米 ,单价119469元/m²,1890
四惠大望路西北两居视野好无遮挡,2室1厅1卫,92.35平米,西北,中楼层/27层,精装,2004年建,十里堡,东恒时代三期,距离地铁四惠710米 ,单价64970元/m²,600
牡丹园北影正规三居，南北通透,3室1厅1卫,83.68平米,南北,低楼层/10层,精装,1996年建,牡丹园,北影小区,距离地铁西土城384米 ,单价84847元/m²,710
金顶街模式口西里，西南向两居室，中间楼层，采光好,2室1厅1卫,62.97平米,西南,中楼层/16层,简装,1988年建,苹果园,模式口西里, ,单价40495元/m²,255
朝阳门，东二环，三丰里社区，一居室诚心出售，看房随时,1室1厅1卫,48.28平米,西,中楼层/6层,精装,1991年建,朝阳门,三丰里小区,距离地铁朝阳门673米 ,单价72494元/m²,350
朝阳公园，石佛营东里精装，低总价，电梯，中间层，未来三号线,1室1厅1卫,58.59平米,西,低楼层/18层,精装,1992年建,石佛营,石佛营东里,距离地铁十里堡1416米 ,单价56324元/m²,330
通州土桥城铁旁 方恒东景南向满五年唯一开间 有电梯带阳台,1室1厅1卫,54.58平米,南,中楼层/31层,简装,2012年建,临河里,方恒东景,距离地铁土桥367米 ,单价45621元/m²,249
南三环 木樨园宣祥家园东南金角三居室 诚意出售,3室1厅1卫,93.55平米,东南,中楼层/25层,精装,2003年建,木樨园,宣祥家园,距离地铁木樨园593米 ,单价51844元/m²,485
白云观南里南北通透两居诚售,2室1厅1卫,52.3平米,南北,中楼层/5层,简装,1979年建,木樨地,白云观南里,距离地铁南礼士路993米 ,单价139579元/m²,730
龙华园东区 中间楼层 采光好通风佳 自住精装 业主诚售三居,3室1厅1卫,87.77平米,东南西,中楼层/6层,精装,1994年建,回龙观,龙华园东区,距离地铁龙泽762米 ,单价49561元/m²,435
东兴小区精装修一居室近地铁黄金楼层,1室1厅1卫,63.49平米,南北,中楼层/6层,精装,1994年建,顺义城,东兴小区,距离地铁顺义454米 ,单价41739元/m²,265
南磨房 平乐园 南向 一居室,1室1厅1卫,46.3平米,南,低楼层/6层,精装,1995年建,北工大,平乐园小区,距离地铁平乐园348米 ,单价65875元/m²,305
天露园小区中两居，南北通透+中间层 随时签约,2室1厅1卫,98.19平米,南北,中楼层/6层,精装,2008年建,回龙观,天露园一区,距离地铁育知路1149米 ,单价40737元/m²,400
国家电网 央产房 南北正规三居 有电梯 随时看,3室2厅2卫,122.91平米,南北,高楼层/9层,简装,1998年建,牛街,法源寺西里,距离地铁菜市口709米 ,单价81360元/m²,1000
西直门南大街 东西南向 全明格局 三居室 诚心出售,3室1厅1卫,96.8平米,东南西,中楼层/18层,精装,1989年建,官园,西直门南大街,距离地铁西直门102米 ,单价103099元/m²,998
首城国际中间楼层 全明格局南北两居满五年随时看,2室1厅1卫,88.69平米,南北,低楼层/28层,精装,2010年建,双井,首城国际,距离地铁九龙山707米 ,单价94712元/m²,840
西直门 电梯西南三居双阳台 改善优选好房  看房随时,3室1厅1卫,88.7平米,西南,中楼层/18层,精装,1990年建,西直门,明光村小区,距离地铁大钟寺1366米 ,单价82976元/m²,736
